date,temperature_2m,cloud_cover
2018-01-01 00:00:00+00:00,10.383,100.0
2018-01-01 01:00:00+00:00,9.433,100.0
2018-01-01 02:00:00+00:00,8.583,100.0
2018-01-01 03:00:00+00:00,7.933,66.0
2018-01-01 04:00:00+00:00,7.583,93.0
2018-01-01 05:00:00+00:00,6.733,100.0
2018-01-01 06:00:00+00:00,5.883,100.0
2018-01-01 07:00:00+00:00,5.983,39.0
2018-01-01 08:00:00+00:00,5.983,37.0
2018-01-01 09:00:00+00:00,6.033,51.0
2018-01-01 10:00:00+00:00,6.233,57.0
2018-01-01 11:00:00+00:00,6.433,81.0
2018-01-01 12:00:00+00:00,6.483,53.0
2018-01-01 13:00:00+00:00,6.433,55.0
2018-01-01 14:00:00+00:00,6.083,29.0
2018-01-01 15:00:00+00:00,5.633,100.0
2018-01-01 16:00:00+00:00,5.083,100.0
2018-01-01 17:00:00+00:00,4.883,100.0
2018-01-01 18:00:00+00:00,5.033,100.0
2018-01-01 19:00:00+00:00,4.933,100.0
2018-01-01 20:00:00+00:00,4.233,100.0
2018-01-01 21:00:00+00:00,3.933,100.0
2018-01-01 22:00:00+00:00,3.583,100.0
2018-01-01 23:00:00+00:00,3.633,100.0
2018-01-02 00:00:00+00:00,4.333,100.0
2018-01-02 01:00:00+00:00,3.933,100.0
2018-01-02 02:00:00+00:00,3.383,100.0
2018-01-02 03:00:00+00:00,3.483,100.0
2018-01-02 04:00:00+00:00,2.283,100.0
2018-01-02 05:00:00+00:00,2.583,100.0
2018-01-02 06:00:00+00:00,3.383,100.0
2018-01-02 07:00:00+00:00,3.983,100.0
2018-01-02 08:00:00+00:00,4.133,100.0
2018-01-02 09:00:00+00:00,4.283,100.0
2018-01-02 10:00:00+00:00,4.583,61.0
2018-01-02 11:00:00+00:00,4.933,75.0
2018-01-02 12:00:00+00:00,5.483,85.0
2018-01-02 13:00:00+00:00,5.183,72.0
2018-01-02 14:00:00+00:00,4.933,71.0
2018-01-02 15:00:00+00:00,4.533,88.0
2018-01-02 16:00:00+00:00,3.933,91.0
2018-01-02 17:00:00+00:00,4.083,100.0
2018-01-02 18:00:00+00:00,3.733,98.0
2018-01-02 19:00:00+00:00,3.383,100.0
2018-01-02 20:00:00+00:00,3.433,100.0
2018-01-02 21:00:00+00:00,3.783,100.0
2018-01-02 22:00:00+00:00,4.033,100.0
2018-01-02 23:00:00+00:00,4.233,100.0
2018-01-03 00:00:00+00:00,3.783,100.0
2018-01-03 01:00:00+00:00,3.983,100.0
2018-01-03 02:00:00+00:00,4.483,100.0
2018-01-03 03:00:00+00:00,4.883,100.0
2018-01-03 04:00:00+00:00,5.183,100.0
2018-01-03 05:00:00+00:00,6.583,100.0
2018-01-03 06:00:00+00:00,7.733,100.0
2018-01-03 07:00:00+00:00,8.633,100.0
2018-01-03 08:00:00+00:00,8.382999,100.0
2018-01-03 09:00:00+00:00,7.583,76.0
2018-01-03 10:00:00+00:00,6.683,95.0
2018-01-03 11:00:00+00:00,6.133,100.0
2018-01-03 12:00:00+00:00,6.333,58.0
2018-01-03 13:00:00+00:00,5.833,100.0
2018-01-03 14:00:00+00:00,5.733,98.0
2018-01-03 15:00:00+00:00,5.733,98.0
2018-01-03 16:00:00+00:00,5.283,99.0
2018-01-03 17:00:00+00:00,5.883,100.0
2018-01-03 18:00:00+00:00,5.883,95.0
2018-01-03 19:00:00+00:00,5.683,95.0
2018-01-03 20:00:00+00:00,5.633,78.0
2018-01-03 21:00:00+00:00,5.683,89.0
2018-01-03 22:00:00+00:00,5.633,74.0
2018-01-03 23:00:00+00:00,5.583,89.0
2018-01-04 00:00:00+00:00,4.983,94.0
2018-01-04 01:00:00+00:00,4.883,96.0
2018-01-04 02:00:00+00:00,5.483,78.0
2018-01-04 03:00:00+00:00,5.383,96.0
2018-01-04 04:00:00+00:00,5.333,100.0
2018-01-04 05:00:00+00:00,5.333,100.0
2018-01-04 06:00:00+00:00,5.533,100.0
2018-01-04 07:00:00+00:00,5.633,100.0
2018-01-04 08:00:00+00:00,5.633,100.0
2018-01-04 09:00:00+00:00,5.933,100.0
2018-01-04 10:00:00+00:00,6.083,100.0
2018-01-04 11:00:00+00:00,6.283,100.0
2018-01-04 12:00:00+00:00,6.433,100.0
2018-01-04 13:00:00+00:00,6.433,100.0
2018-01-04 14:00:00+00:00,5.783,100.0
2018-01-04 15:00:00+00:00,5.683,100.0
2018-01-04 16:00:00+00:00,5.733,100.0
2018-01-04 17:00:00+00:00,5.683,100.0
2018-01-04 18:00:00+00:00,6.683,100.0
2018-01-04 19:00:00+00:00,7.883,97.0
2018-01-04 20:00:00+00:00,8.883,74.0
2018-01-04 21:00:00+00:00,8.683,75.0
2018-01-04 22:00:00+00:00,8.183001,64.0
2018-01-04 23:00:00+00:00,7.783,51.0
2018-01-05 00:00:00+00:00,7.883,56.0
2018-01-05 01:00:00+00:00,6.783,70.0
2018-01-05 02:00:00+00:00,6.633,68.0
2018-01-05 03:00:00+00:00,6.383,32.0
2018-01-05 04:00:00+00:00,5.583,67.0
2018-01-05 05:00:00+00:00,5.583,96.0
2018-01-05 06:00:00+00:00,6.483,100.0
2018-01-05 07:00:00+00:00,7.633,97.0
2018-01-05 08:00:00+00:00,7.733,54.0
2018-01-05 09:00:00+00:00,8.132999,98.0
2018-01-05 10:00:00+00:00,8.382999,95.0
2018-01-05 11:00:00+00:00,8.783,100.0
2018-01-05 12:00:00+00:00,9.333,100.0
2018-01-05 13:00:00+00:00,8.983,100.0
2018-01-05 14:00:00+00:00,8.533,100.0
2018-01-05 15:00:00+00:00,7.833,100.0
2018-01-05 16:00:00+00:00,7.033,98.0
2018-01-05 17:00:00+00:00,6.483,90.0
2018-01-05 18:00:00+00:00,6.233,88.0
2018-01-05 19:00:00+00:00,5.883,99.0
2018-01-05 20:00:00+00:00,5.783,100.0
2018-01-05 21:00:00+00:00,5.883,100.0
2018-01-05 22:00:00+00:00,6.133,81.0
2018-01-05 23:00:00+00:00,6.033,88.0
2018-01-06 00:00:00+00:00,5.983,95.0
