Timestamp,Grid emission factor,Total conventional power plant,Total electricity demand,Total grid emissions
2018-10-01T00:00:00,537.211,43.289,52.442,29973.883
2018-10-01T01:00:00,535.14,43.165,52.009,29847.622
2018-10-01T02:00:00,534.424,43.317,51.341,29873.085
2018-10-01T03:00:00,536.03,43.292,53.145,30124.96
2018-10-01T04:00:00,530.868,43.462,54.961,30367.447
2018-10-01T05:00:00,532.805,45.764,56.049,32110.29
2018-10-01T06:00:00,522.989,49.418,64.503,34328.277
2018-10-01T07:00:00,495.241,55.488,69.596,36135.569
2018-10-01T08:00:00,475.349,56.362,71.977,36200.586
2018-10-01T09:00:00,457.29,55.852,72.953,35950.521
2018-10-01T10:00:00,444.439,52.775,73.5,35373.034
2018-10-01T11:00:00,420.984,49.393,75.165,33944.919
2018-10-01T12:00:00,390.842,45.318,72.938,31111.056
2018-10-01T13:00:00,378.678,44.048,72.165,30330.908
2018-10-01T14:00:00,367.745,42.792,72.356,29622.354
2018-10-01T15:00:00,367.147,42.123,70.708,28964.859
2018-10-01T16:00:00,379.826,43.448,69.892,29521.21
2018-10-01T17:00:00,409.642,46.003,69.189,31299.445
2018-10-01T18:00:00,438.732,48.641,69.051,32772.612
2018-10-01T19:00:00,431.187,51.913,71.316,33261.228
2018-10-01T20:00:00,437.746,49.27,68.299,32892.132
2018-10-01T21:00:00,439.029,46.31,64.802,31645.71
2018-10-01T22:00:00,434.623,43.933,61.783,29961.438
2018-10-01T23:00:00,425.408,41.168,59.012,27984.162
2018-10-02T00:00:00,429.553,40.068,55.8,27491.431
2018-10-02T01:00:00,429.005,39.593,54.41,26932.928
2018-10-02T02:00:00,433.13,39.703,55.237,27121.795
2018-10-02T03:00:00,425.41,39.494,57.385,26938.97
2018-10-02T04:00:00,417.61,39.94,58.268,27190.096
2018-10-02T05:00:00,415.375,41.381,61.016,28267.264
2018-10-02T06:00:00,405.506,44.637,66.42,29580.533
2018-10-02T07:00:00,390.095,47.824,71.992,30387.025
2018-10-02T08:00:00,364.915,47.631,73.634,29437.553
2018-10-02T09:00:00,345.475,43.977,74.437,28154.468
2018-10-02T10:00:00,322.394,42.054,75.945,27401.472
2018-10-02T11:00:00,299.857,39.253,78.189,26161.271
2018-10-02T12:00:00,267.976,36.19,77.516,23261.697
2018-10-02T13:00:00,261.591,35.706,77.224,22624.241
2018-10-02T14:00:00,260.406,35.357,76.262,22377.37
2018-10-02T15:00:00,265.479,35.154,74.692,22289.458
2018-10-02T16:00:00,270.215,35.073,73.586,22274.473
2018-10-02T17:00:00,280.365,35.729,72.023,22714.288
2018-10-02T18:00:00,274.541,37.324,72.021,22201.064
2018-10-02T19:00:00,272.514,38.505,72.605,22123.917
2018-10-02T20:00:00,272.399,36.102,69.493,21422.437
2018-10-02T21:00:00,269.052,33.112,66.453,20369.575
2018-10-02T22:00:00,257.748,30.673,63.243,18640.534
2018-10-02T23:00:00,231.314,27.562,60.303,16042.915
2018-10-03T00:00:00,213.162,25.444,58.133,14341.522
2018-10-03T01:00:00,211.118,25.318,57.784,14161.428
2018-10-03T02:00:00,208.054,24.899,57.347,13948.738
2018-10-03T03:00:00,208.77,25.23,56.433,13938.561
2018-10-03T04:00:00,210.937,25.248,56.651,14035.311
2018-10-03T05:00:00,212.6,25.381,55.015,14051.154
2018-10-03T06:00:00,212.871,25.239,55.403,14100.86
2018-10-03T07:00:00,217.022,25.509,54.902,14246.409
2018-10-03T08:00:00,220.713,26.259,55.921,14632.919
2018-10-03T09:00:00,220.98,27.986,59.676,15508.927
2018-10-03T10:00:00,206.225,28.132,62.726,15182.815
2018-10-03T11:00:00,204.969,27.081,65.249,15554.147
2018-10-03T12:00:00,196.447,24.969,64.635,14808.529
2018-10-03T13:00:00,193.791,24.768,64.632,14588.767
2018-10-03T14:00:00,197.777,24.843,64.242,14746.49
2018-10-03T15:00:00,209.165,24.879,61.358,14889.584
2018-10-03T16:00:00,252.337,27.931,58.001,17201.462
2018-10-03T17:00:00,325.188,33.621,57.135,21696.66
2018-10-03T18:00:00,387.153,38.465,58.543,25071.931
2018-10-03T19:00:00,404.467,42.683,60.235,26804.542
2018-10-03T20:00:00,415.383,42.659,59.153,27073.805
2018-10-03T21:00:00,419.971,41.649,57.427,26802.605
2018-10-03T22:00:00,423.299,41.093,56.597,26604.175
2018-10-03T23:00:00,435.624,40.289,53.421,26451.291
2018-10-04T00:00:00,445.857,40.801,51.962,26745.28
2018-10-04T01:00:00,451.15,40.4,51.72,26643.571
2018-10-04T02:00:00,457.738,40.881,51.698,26983.401
2018-10-04T03:00:00,471.0,42.717,52.117,28408.332
2018-10-04T04:00:00,479.036,44.208,53.836,29707.138
2018-10-04T05:00:00,494.128,47.138,56.747,31776.85
2018-10-04T06:00:00,495.3,52.409,64.256,34451.923
2018-10-04T07:00:00,473.859,57.586,69.904,35405.726
2018-10-04T08:00:00,465.619,58.567,71.821,35962.308
2018-10-04T09:00:00,456.256,57.136,72.103,36031.222
2018-10-04T10:00:00,447.833,53.799,72.642,35794.965
2018-10-04T11:00:00,429.712,52.794,71.544,35386.499
2018-10-04T12:00:00,415.637,50.184,69.891,34247.441
2018-10-04T13:00:00,407.85,48.843,70.643,33648.173
2018-10-04T14:00:00,412.016,48.852,70.241,33746.923
2018-10-04T15:00:00,431.115,49.546,68.353,34263.276
2018-10-04T16:00:00,463.074,50.364,67.395,34961.166
2018-10-04T17:00:00,492.596,52.364,66.542,35347.825
2018-10-04T18:00:00,506.663,55.984,67.734,36072.183
2018-10-04T19:00:00,495.679,57.763,70.388,36166.07
2018-10-04T20:00:00,504.615,55.212,68.903,35982.455
2018-10-04T21:00:00,510.54,53.038,64.649,35628.109
2018-10-04T22:00:00,509.173,49.061,60.995,33916.457
2018-10-04T23:00:00,489.909,46.692,59.564,32183.674
2018-10-05T00:00:00,473.296,44.444,58.225,30483.986
2018-10-05T01:00:00,465.635,44.104,57.764,30088.725
